beta,fmt_value
0.0,0.0
0.0012036166166166165,0.0006018084172877078
0.002407233233233233,0.0012036174884510233
0.0036108498498498495,0.001805427867361609
0.004814466466466466,0.0024072402078832316
0.0060180830830830825,0.003009055163867826
0.007221699699699699,0.0036108733891515496
0.008425316316316316,0.004212695537550845
0.009628932932932932,0.0048145222628585135
0.010832549549549549,0.005416354218839785
0.012036166166166165,0.0060181920592284124
0.013239782782782782,0.006620036437722732
0.014443399399399398,0.007221888007981792
0.015647016016016015,0.007823747423621467
0.01685063263263263,0.008425615338210546
0.018054249249249248,0.009027492405266879
0.019257865865865864,0.009629379278253546
0.02046148248248248,0.01023127661057498
0.021665099099099097,0.010833185055573184
0.022868715715715714,0.011435105266523882
0.02407233233233233,0.012037037896632768
0.025275948948948947,0.01263898359903168
0.026479565565565563,0.013240943026774931
0.02768318218218218,0.013842916832835473
0.028886798798798796,0.014444905670101281
0.030090415415415413,0.015046910191371624
0.03129403203203203,0.015648931049353346
0.032497648648648646,0.01625096889665738
0.03370126526526526,0.016853024385794946
0.03490488188188188,0.017455098169174066
0.036108498498498495,0.018057190899096055
0.03731211511511511,0.018659303227751868
0.03851573173173173,0.019261435807218643
0.039719348348348345,0.01986358928945629
0.04092296496496496,0.020465764326303985
0.04212658158158158,0.021067961569476767
0.043330198198198194,0.021670181670562217
0.04453381481481481,0.02227242528101707
0.04573743143143143,0.022874693052163938
0.046941048048048044,0.023476985635188036
0.04814466466466466,0.024079303681133965
0.04934828128128128,0.024681647840902526
0.05055189789789789,0.025284018765247565
0.05175551451451451,0.02588641710477287
0.052959131131131126,0.026488843509929118
0.05416274774774774,0.02709129863101087
0.05536636436436436,0.02769378311815356
0.056569980980980976,0.02829629762133056
0.05777359759759759,0.02889884279035039
0.05897721421421421,0.029501419274853745
0.060180830830830825,0.03010402772431082
0.06138444744744744,0.030706668788018556
0.06258806406406406,0.0313093431150979
0.06379168068068067,0.03191205135449119
0.06499529729729729,0.032514794154959704
0.06619891391391391,0.033117572165080884
0.06740253053053052,0.03372038603324609
0.06860614714714713,0.034323236407658136
0.06980976376376376,0.03492612393632885
0.07101338038038038,0.03552904926707683
0.07221699699699699,0.03613201304752526
0.0734206136136136,0.03673501592509964
0.07462423023023022,0.037338058547025765
0.07582784684684685,0.03794114156032756
0.07703146346346346,0.03854426561182523
0.07823508008008007,0.03914743134813324
0.07943869669669669,0.03975063941565847
0.08064231331331331,0.04035389046059851
0.08184592992992992,0.04095718512893979
0.08304954654654653,0.0415605240664561
0.08425316316316316,0.0421639079187069
0.08545677977977978,0.04276733733103587
0.08666039639639639,0.04337081294856944
0.087864013013013,0.04397433541621542
0.08906762962962962,0.044577905378661825
0.09027124624624625,0.04518152348037554
0.09147486286286285,0.045785190365601275
0.09267847947947946,0.04638890667836044
0.09388209609609609,0.046992673062450314
0.09508571271271271,0.047596490161442975
0.09628932932932932,0.04820035861868466
0.09749294594594593,0.04880427907729495
0.09869656256256255,0.04940825218016618
0.09990017917917918,0.050012278569962876
0.10110379579579579,0.0506163588891213
0.1023074124124124,0.051220493779849004
0.10351102902902902,0.05182468388412473
0.10471464564564564,0.052428929843698
0.10591826226226225,0.053033232300089196
0.10712187887887886,0.0536375918945894
0.10832549549549549,0.05424200926826065
0.10952911211211211,0.054846485061935936
0.11073272872872872,0.055451019916219695
0.11193634534534533,0.056055614471487956
0.11313996196196195,0.05666026936788904
0.11434357857857858,0.05726498524534401
0.11554719519519518,0.05786976274354735
0.1167508118118118,0.05847460250196783
0.11795442842842842,0.05907950515984933
0.11915804504504504,0.05968447135621188
0.12036166166166165,0.06028950172985273
0.12156527827827826,0.060894596919347524
0.12276889489489488,0.0614997575630518
0.12397251151151151,0.062104984299102155
0.12517612812812812,0.06271027776541799
0.12637974474474473,0.06331563859970318
0.12758336136136134,0.06392106743944757
0.12878697797797797,0.06452656492192933
0.12999059459459458,0.0651321316842165
0.1311942112112112,0.06573776836316939
0.13239782782782783,0.06634347559544276
0.13360144444444444,0.06694925401748816
0.13480506106106105,0.06755510426555639
0.13600867767767766,0.06816102697570021
0.13721229429429427,0.06876702278377705
0.1384159109109109,0.06937309232545187
0.13961952752752751,0.06997923623619995
0.14082314414414412,0.07058545515131041
0.14202676076076076,0.07119174970588919
0.14323037737737737,0.07179812053486244
0.14443399399399398,0.07240456827298003
0.1456376106106106,0.0730110935548195
0.1468412272272272,0.07361769701478939
0.14804484384384384,0.07422437928713349
0.14924846046046045,0.07483114100593478
0.15045207707707706,0.07543798280511958
0.1516556936936937,0.07604490531846214
0.1528593103103103,0.0766519091795888
0.1540629269269269,0.07725899502198291
0.15526654354354352,0.07786616347898934
0.15647016016016013,0.07847341518381973
0.15767377677677677,0.07908075076955726
0.15887739339339338,0.07968817086916198
0.16008101001001,0.08029567611547626
0.16128462662662663,0.08090326714123029
0.16248824324324324,0.08151094457904762
0.16369185985985985,0.08211870906145118
0.16489547647647645,0.08272656122086923
0.16609909309309306,0.08333450168964136
0.1673027097097097,0.08394253110002511
0.1685063263263263,0.08455065008420203
0.16970994294294292,0.08515885927428472
0.17091355955955956,0.08576715930232329
0.17211717617617617,0.08637555080031259
0.17332079279279278,0.08698403440019914
0.1745244094094094,0.08759261073388852
0.175728026026026,0.08820128043325297
0.17693164264264263,0.08881004413013871
0.17813525925925924,0.08941890245637388
0.17933887587587585,0.09002785604377668
0.1805424924924925,0.09063690552416344
0.1817461091091091,0.09124605152935666
0.1829497257257257,0.09185529469119416
0.18415334234234232,0.09246463564153705
0.18535695895895893,0.09307407501227911
0.18656057557557557,0.09368361343535563
0.18776419219219218,0.09429325154275256
0.18896780880880878,0.09490298996651632
0.19017142542542542,0.09551282933876279
0.19137504204204203,0.09612277029168767
0.19257865865865864,0.0967328134575762
0.19378227527527525,0.09734295946881319
0.19498589189189186,0.09795320895789383
0.1961895085085085,0.09856356255743369
0.1973931251251251,0.09917402090017989
0.19859674174174172,0.09978458461902188
0.19980035835835835,0.10039525434700251
0.20100397497497496,0.10100603071732954
0.20220759159159157,0.10161691436338696
0.20341120820820818,0.10222790591874699
0.2046148248248248,0.10283900601718168
0.20581844144144143,0.10345021529267551
0.20702205805805804,0.10406153437943719
0.20822567467467465,0.10467296391191265
0.2094292912912913,0.1052845045247976
0.2106329079079079,0.10589615685305051
0.2118365245245245,0.10650792153190579
0.21304014114114111,0.10711979919688724
0.21424375775775772,0.10773179048382156
0.21544737437437436,0.1083438960288522
0.21665099099099097,0.10895611646845334
0.21785460760760758,0.10956845243944423
0.21905822422422422,0.11018090457900356
0.22026184084084083,0.11079347352468406
0.22146545745745744,0.1114061599144276
0.22266907407407405,0.11201896438658018
0.22387269069069066,0.11263188757990714
0.2250763073073073,0.11324493013360898
0.2262799239239239,0.11385809268733683
0.2274835405405405,0.11447137588120877
0.22868715715715715,0.11508478035582587
0.22989077377377376,0.11569830675228858
0.23109439039039037,0.11631195571221346
0.23229800700700698,0.11692572787775028
0.2335016236236236,0.11753962389159886
0.23470524024024023,0.11815364439702661
0.23590885685685684,0.1187677900378861
0.23711247347347345,0.1193820614586327
0.23831609009009008,0.11999645930434305
0.2395197067067067,0.12061098422073292
0.2407233233233233,0.12122563685417605
0.2419269399399399,0.12184041785172246
0.24313055655655652,0.12245532786111814
0.24433417317317316,0.12307036753082372
0.24553778978978977,0.12368553751003412
0.24674140640640638,0.12430083844869806
0.24794502302302301,0.12491627099753853
0.24914863963963962,0.1255318358080723
0.25035225625625623,0.12614753353263086
0.25155587287287284,0.12676336482438078
0.25275948948948945,0.12737933033734467
0.25396310610610606,0.1279954307264224
0.25516672272272267,0.12861166664741244
0.25637033933933934,0.12922803875703343
0.25757395595595595,0.12984454771294604
0.25877757257257256,0.13046119417377514
0.25998118918918917,0.13107797879913202
0.2611848058058058,0.13169490224963729
0.2623884224224224,0.13231196518694308
0.263592039039039,0.13292916827375698
0.26479565565565566,0.13354651217386446
0.26599927227227227,0.13416399755215308
0.2672028888888889,0.13478162507463598
0.2684065055055055,0.13539939540847595
0.2696101221221221,0.1360173092220099
0.2708137387387387,0.13663536718477293
0.2720173553553553,0.1372535699675237
0.2732209719719719,0.137871918242269
0.27442458858858854,0.13849041268228904
0.2756282052052052,0.13910905396216322
0.2768318218218218,0.1397278427577956
0.2780354384384384,0.14034677974644075
0.27923905505505503,0.1409658656067304
0.28044267167167164,0.14158510101869956
0.28164628828828825,0.14220448666381313
0.28284990490490486,0.14282402322499316
0.2840535215215215,0.1434437113866458
0.28525713813813813,0.1440635518346885
0.28646075475475474,0.14468354525657812
0.28766437137137135,0.14530369234133844
0.28886798798798796,0.14592399377958828
0.29007160460460457,0.14654445026357013
0.2912752212212212,0.14716506248717817
0.2924788378378378,0.1477858311459876
0.2936824544544544,0.1484067569372834
0.29488607107107107,0.14902784056008964
0.2960896876876877,0.1496490827151989
0.2972933043043043,0.15027048410520194
0.2984969209209209,0.15089204543451776
0.2997005375375375,0.15151376740942382
0.3009041541541541,0.15213565073808588
0.3021077707707707,0.1527576961305894
0.3033113873873874,0.15337990429896953
0.304515004004004,0.15400227595724267
0.3057186206206206,0.15462481182143747
0.3069222372372372,0.15524751260962627
0.3081258538538538,0.15587037904195683
0.30932947047047044,0.15649341184068408
0.31053308708708705,0.15711661173020225
0.31173670370370365,0.15773997943707704
0.31294032032032026,0.15836351569007823
0.31414393693693693,0.15898722122021197
0.31534755355355354,0.1596110967607542
0.31655117017017015,0.1602351430472831
0.31775478678678676,0.16085936081771265
0.31895840340340337,0.1614837508123259
0.32016202002002,0.16210831377380866
0.3213656366366366,0.1627330504472832
0.32256925325325325,0.16335796158034216
0.32377286986986986,0.1639830479230827
0.32497648648648647,0.16460831022814093
0.3261801031031031,0.1652337492507259
0.3273837197197197,0.16585936574865498
0.3285873363363363,0.16648516048238773
0.3297909529529529,0.16711113421506155
0.3309945695695695,0.16773728771252633
0.33219818618618613,0.16836362174337996
0.3334018028028028,0.1689901370790035
0.3346054194194194,0.1696168344935967
0.335809036036036,0.17024371476421374
0.3370126526526526,0.17087077867079886
0.33821626926926923,0.17149802699622235
0.33941988588588584,0.17212546052631672
0.34062350250250245,0.17275308004991247
0.3418271191191191,0.17338088635887453
0.3430307357357357,0.17400888024813882
0.34423435235235234,0.17463706251574806
0.34543796896896894,0.17526543396288938
0.34664158558558555,0.17589399539392964
0.34784520220220216,0.17652274761645334
0.3490488188188188,0.17715169144129875
0.3502524354354354,0.17778082768259496
0.351456052052052,0.17841015715779887
0.35265966866866866,0.17903968068773224
0.35386328528528527,0.17966939909661858
0.3550669019019019,0.18029931321212034
0.3562705185185185,0.18092942386537647
0.3574741351351351,0.18155973189103894
0.3586777517517517,0.18219023812731042
0.3598813683683683,0.18282094341598149
0.361084984984985,0.18345184860246797
0.3622886016016016,0.1840829545358479
0.3634922182182182,0.18471426206889935
0.3646958348348348,0.18534577205813732
0.3658994514514514,0.1859774853638511
0.36710306806806803,0.18660940285014185
0.36830668468468464,0.18724152538495933
0.36951030130130125,0.1878738538401397
0.37071391791791786,0.1885063890914423
0.3719175345345345,0.18913913201858668
0.37312115115115113,0.18977208350529043
0.37432476776776774,0.19040524443930532
0.37552838438438435,0.1910386157124547
0.37673200100100096,0.1916721982206704
0.37793561761761757,0.19230599286402933
0.3791392342342342,0.19294000054679036
0.38034285085085084,0.1935742221774309
0.38154646746746745,0.1942086586686829
0.38275008408408406,0.19484331093757
0.3839537007007007,0.19547817990544336
0.3851573173173173,0.19611326649801758
0.3863609339339339,0.1967485716454068
0.3875645505505505,0.19738409628216058
0.3887681671671671,0.19801984134729936
0.3899717837837837,0.19865580778434982
0.3911754004004004,0.1992919965413805
0.392379017017017,0.1999284085710362
0.3935826336336336,0.2005650448305735
0.3947862502502502,0.20120190628189494
0.3959898668668668,0.20183899389158347
0.39719348348348343,0.2024763086309368
0.39839710010010004,0.20311385147600097
0.3996007167167167,0.2037516234076044
0.4008043333333333,0.2043896254113906
0.4020079499499499,0.2050278584778523
0.40321156656656654,0.20566632360236278
0.40441518318318315,0.20630502178520985
0.40561879979979976,0.2069439540316272
0.40682241641641637,0.20758312135182594
0.408026033033033,0.208222524761027
0.4092296496496496,0.2088621652794916
0.41043326626626625,0.20950204393255217
0.41163688288288286,0.2101421617506425
0.41284049949949947,0.21078251976932846
0.4140441161161161,0.21142311902933716
0.4152477327327327,0.21206396057658577
0.4164513493493493,0.21270504546221095
0.4176549659659659,0.2133463747425967
0.4188585825825826,0.2139879494794028
0.4200621991991992,0.21462977073959116
0.4212658158158158,0.21527183959545404
0.4224694324324324,0.2159141571246394
0.423673049049049,0.21655672441017754
0.4248766656656656,0.2171995425405063
0.42608028228228223,0.21784261260949575
0.42728389889889884,0.21848593571647246
0.42848751551551545,0.21912951296624378
0.4296911321321321,0.21977334546912064
0.4308947487487487,0.22041743434094008
0.43209836536536533,0.2210617807030873
0.43330198198198194,0.22170638568251744
0.43450559859859855,0.2223512504117757
0.43570921521521516,0.22299637602901778
0.43691283183183177,0.22364176367802951
